Date,B_Open,B_High,B_Low,B_Close,B_Volume,B_Value,B_weighted_Price,Inflation,DJ_Open,DJ_High,DJ_Low,DJ_Close,DJ_Adj_Close,DJ_Volume,Gold_Open,Gold_High,Gold_Low,Gold_Close,Fed
2012-02-11,5.71,5.71,5.5,5.5,1.88,10.37,5.52,2.9,12889.55,12889.63,12743.56,12801.23,12801.23,123620000,1731.29,1734.76,1704.99,1721.7,0.12
2012-02-12,5.78,5.78,5.55,5.67,64.84,371.29,5.73,2.9,12889.55,12889.63,12743.56,12801.23,12801.23,123620000,1731.29,1734.76,1704.99,1721.7,0.12
2012-02-13,5.53,5.79,5.5,5.79,99.78,571.31,5.73,2.9,12799.11,12887.93,12799.11,12874.04,12874.04,112240000,1725.07,1733.29,1716.37,1718.79,0.12
2012-02-14,5.2,5.8,4.56,4.89,128.34,662.53,5.16,2.9,12871.77,12878.88,12786.93,12878.28,12878.28,120050000,1718.76,1727.61,1712.33,1719.63,0.12
2012-02-15,4.9,5.08,4.69,4.69,67.79,335.71,4.95,2.9,12864.65,12899.47,12753.62,12780.95,12780.95,127560000,1719.26,1737.35,1718.75,1728.37,0.12
2012-02-16,4.5,4.98,4.15,4.51,115.62,535.15,4.63,2.9,12779.81,12914,12779.58,12904.08,12904.08,134450000,1727.6,1729.98,1705.47,1727.58,0.11
2012-02-17,4.67,4.8,4.5,4.67,244.67,1151.24,4.71,2.9,12903.33,12967.92,12903.25,12949.87,12949.87,234650000,1728.68,1735.62,1717.34,1723.55,0.09
2012-02-18,4.67,4.73,4.14,4.23,254.39,1121.28,4.41,2.9,12903.33,12967.92,12903.25,12949.87,12949.87,234650000,1728.68,1735.62,1717.34,1723.55,0.09
2012-02-19,4.38,4.38,4.3,4.38,92.68,401.21,4.33,2.9,12903.33,12967.92,12903.25,12949.87,12949.87,234650000,1728.68,1735.62,1717.34,1723.55,0.09
2012-02-20,4.72,4.72,4.4,4.44,315.94,1439.91,4.56,2.9,12903.33,12967.92,12903.25,12949.87,12949.87,234650000,1734.14,1737.11,1728.87,1733.34,0.09
2012-02-21,4.52,4.58,4.3,4.58,358.45,1595.16,4.45,2.9,12949.34,13005.04,12926.11,12965.69,12965.69,164780000,1733.64,1760.28,1731.11,1757.24,0.1
2012-02-22,4.47,4.59,4.46,4.51,75.31,341.36,4.53,2.9,12966.22,12977.91,12914.83,12938.67,12938.67,124200000,1756.8,1781.86,1749.44,1775.55,0.08
2012-02-23,4.59,5.22,4.55,5.22,714.84,3516.15,4.92,2.9,12937.08,12996.08,12882.67,12984.69,12984.69,120480000,1775.8,1787.39,1772.42,1779.23,0.08
2012-02-24,5.12,5.22,4.95,4.95,37.6,193.55,5.15,2.9,12981.2,13013.82,12950.59,12982.95,12982.95,89440000,1777.93,1782.92,1762.35,1772.65,0.09
2012-02-25,5.11,5.11,5,5,119.81,600.53,5.01,2.9,12981.2,13013.82,12950.59,12982.95,12982.95,89440000,1777.93,1782.92,1762.35,1772.65,0.09
